Id,In_Degree,Out_Degree,Degree,year_copy,Case_ID
355,5,34,39,1960,"[363, 666]"
357,7,8,15,1905,"[197, 146]"
359,0,0,0,1959,"[361, 35]"
360,9,53,62,1990,"[493, 455]"
361,42,22,64,1890,"[136, 313]"
362,14,27,41,1936,"[298, 110]"
363,2,0,2,1973,"[412, 92]"
364,0,0,0,1935,"[296, 299]"
366,0,8,8,1901,"[182, 398]"
368,7,4,11,1893,"[150, 245]"
369,15,73,88,1982,"[456, 461]"
370,16,66,82,1988,"[487, 781]"
371,0,16,16,2010,"[559, 338]"
372,28,18,46,1930,"[281, 586]"
373,0,8,8,2007,"[552, 74]"
374,0,0,0,1969,"[394, 1022]"
375,4,22,26,2000,"[529, 848]"
376,3,8,11,1971,"[404, 37]"
377,0,4,4,1927,"[273, 386]"
378,1,0,1,1895,"[156, 353]"
379,0,0,0,1980,"[449, 1043]"
381,0,0,0,1957,"[355, 82]"
384,8,39,47,1988,"[485, 759]"
387,3,3,6,1889,"[129, 206]"
388,3,4,7,1904,"[195, 252]"
390,2,18,20,2002,"[535, 654]"
391,0,10,10,1937,"[302, 272]"
392,35,17,52,1951,"[341, 479]"
393,0,0,0,2012,"[566, 159]"
394,1,3,4,1970,"[400, 1211]"
395,0,0,0,1975,"[423, 938]"
396,5,0,5,1898,"[169, 26]"
398,4,12,16,1924,"[263, 586]"
401,1,3,4,1995,"[514, 268]"
402,0,4,4,1904,"[195, 606]"
403,12,11,23,1921,"[256, 477]"
404,0,0,0,1886,"[116, 187]"
405,0,3,3,1907,"[204, 489]"
406,10,18,28,1969,"[394, 759]"
407,34,46,80,1897,"[167, 548]"
408,9,40,49,1986,"[475, 469]"
409,9,38,47,1921,"[256, 232]"
411,0,0,0,2014,"[573, 1200]"
412,1,0,1,1912,"[226, 170]"
413,9,18,27,1935,"[294, 216]"
414,0,0,0,1900,"[177, 213]"
415,0,0,0,1964,"[378, 585]"
416,12,6,18,1951,"[340, 543]"
418,0,2,2,1980,"[446, 1318]"
420,3,10,13,1919,"[251, 48]"
421,0,0,0,1963,"[373, 541]"
423,17,19,36,1916,"[241, 319]"
424,0,0,0,1961,"[368, 30]"
426,4,17,21,1885,"[115, 264]"
427,8,12,20,1969,"[244, 368]"
428,29,45,74,1948,"[334, 410]"
429,14,23,37,1991,"[502, 197]"
430,1,1,2,1923,"[261, 398]"
431,2,32,34,1950,"[340, 15]"
433,11,23,34,1913,"[228, 549]"
434,10,12,22,1968,"[390, 544]"
435,0,4,4,1928,"[276, 536]"
436,12,0,12,1885,"[113, 756]"
437,0,0,0,1941,"[313, 441]"
439,4,0,4,1890,"[136, 386]"
441,1,7,8,1890,"[134, 688]"
442,24,47,71,1898,"[172, 102]"
443,32,23,55,1977,"[430, 705]"
445,9,24,33,1915,"[236, 397]"
446,0,0,0,1910,"[218, 113]"
447,194,17,211,1909,"[215, 1]"
448,35,55,90,1928,"[277, 163]"
449,0,3,3,1893,"[148, 137]"
450,7,2,9,1922,"[258, 403]"
451,8,16,24,1917,"[245, 20]"
452,0,1,1,1979,"[444, 206]"
453,1,22,23,1986,"[475, 134]"
454,0,14,14,1939,"[305, 380]"
455,6,10,16,1959,"[359, 227]"
459,29,34,63,1966,"[383, 715]"
460,4,3,7,1888,"[128, 416]"
461,0,0,0,1969,"[396, 7]"
462,3,34,37,1973,"[410, 526]"
463,6,3,9,1914,"[233, 165]"
464,4,6,10,1913,"[231, 218]"
466,6,7,13,1928,"[277, 258]"
467,2,0,2,1903,"[189, 116]"
468,2,14,16,1964,"[377, 179]"
469,10,38,48,1992,"[505, 788]"
470,4,2,6,1882,"[106, 7]"
471,14,50,64,1959,"[360, 185]"
472,0,0,0,1916,"[241, 160]"
473,6,29,35,1929,"[278, 484]"
475,7,1,8,1891,"[141, 583]"
476,1,7,8,1894,"[155, 240]"
477,2,3,5,1925,"[269, 158]"
478,6,0,6,1944,"[322, 349]"
479,31,24,55,1912,"[223, 335]"
480,4,5,9,1906,"[200, 304]"
481,2,5,7,1919,"[249, 472]"
482,2,18,20,1958,"[356, 691]"
483,7,25,32,1989,"[490, 495]"
484,10,14,24,1962,"[369, 367]"
486,6,12,18,1956,"[350, 415]"
488,7,6,13,1923,"[263, 167]"
